zipcode,incident_response_seconds_qy,incident_response_min_qy
10000,709.0,11.82
10001,462.53064699205447,7.71
10002,423.89697950377564,7.06
10003,395.0403645833333,6.58
10004,433.996632996633,7.23
10005,389.9793103448276,6.5
10006,443.2061855670103,7.39
10007,371.32488479262673,6.19
10009,422.0606276747504,7.03
10010,381.86292428198436,6.36
10011,412.85023696682464,6.88
10012,463.26813880126184,7.72
10013,448.09969788519635,7.47
10014,442.66402116402116,7.38
10016,405.2391304347826,6.75
10017,427.06037321624586,7.12
10018,484.5139043381535,8.08
10019,433.8431654676259,7.23
10020,493.1509433962264,8.22
10021,328.54391371340523,5.48
10022,456.6887417218543,7.61
10023,447.4505347593583,7.46
10024,406.0153172866521,6.77
10025,409.0754272245139,6.82
10026,430.54134366925064,7.18
10027,428.7986834887548,7.15
10028,360.15532286212914,6.0
10029,440.0669536107126,7.33
10030,417.2108108108108,6.95
10031,429.95711835334475,7.17
10032,353.0904425914047,5.88
10033,400.18888888888887,6.67
10034,436.19679300291546,7.27
10035,499.89198743126474,8.33
10036,469.48918353105375,7.82
10037,390.6778398510242,6.51
10038,380.37735849056605,6.34
10039,479.1829268292683,7.99
10040,458.75969962453064,7.65
10041,358.4782608695652,5.97
10044,611.1666666666666,10.19
10065,293.25,4.89
10069,398.11178247734136,6.64
10075,446.42424242424244,7.44
10103,337.1515151515151,5.62
10107,649.0,10.82
10111,544.5,9.07
10112,404.3333333333333,6.74
10115,480.8,8.01
10118,430.6666666666667,7.18
10119,601.3333333333334,10.02
10120,440.54545454545456,7.34
10121,278.0,4.63
10122,811.2857142857143,13.52
10123,554.5714285714286,9.24
10128,351.14285714285717,5.85
10153,465.46666666666664,7.76
10154,474.175,7.9
10162,445.15714285714284,7.42
10165,397.5323868677906,6.63
10168,416.4168865435356,6.94
10173,473.4550264550264,7.89
10278,426.1788154897494,7.1
10280,390.09708737864077,6.5
10281,413.95905834186283,6.9
10282,512.6666666666666,8.54
10301,425.1656050955414,7.09
10302,427.65354330708664,7.13
10303,390.5446927374302,6.51
10304,419.26640419947506,6.99
10305,454.3734662576687,7.57
10306,433.6355624675998,7.23
10307,499.6676370693838,8.33
10308,480.13949903660887,8.0
10309,515.8403193612775,8.6
10310,462.2918628110289,7.7
10312,468.47534802784224,7.81
10314,458.1887477313975,7.64
10451,444.5426756649464,7.41
10452,492.29000517866393,8.2
10453,506.34569983136595,8.44
10454,464.41482843137254,7.74
10455,486.41427104722794,8.11
10456,485.4134849715678,8.09
10457,670.1780821917808,11.17
10458,545.933588761175,9.1
10459,424.6983372921615,7.08
10460,445.42089293454706,7.42
10461,463.1347874720358,7.72
10462,446.39144215530905,7.44
10463,454.4226804123711,7.57
10464,415.3596214511041,6.92
10465,530.1389548693587,8.84
10466,511.7988787666433,8.53
10467,547.8639575971731,9.13
10468,503.2038014783527,8.39
10469,668.3333333333334,11.14
10470,385.57894736842104,6.43
10471,394.4640522875817,6.57
10472,530.9753086419753,8.85
10473,400.6280991735537,6.68
10474,491.3652762119504,8.19
10475,434.57327586206895,7.24
10803,455.7560975609756,7.6
11001,436.3938223938224,7.27
11004,427.6826923076923,7.13
11005,439.0425925925926,7.32
11040,542.9285714285714,9.05
11101,382.4475021168501,6.37
11102,404.10982264665756,6.74
11103,427.5855354659249,7.13
11104,388.7144686299616,6.48
11105,405.3705054715998,6.76
11106,444.84381858083395,7.41
11109,535.6871140386991,8.93
11201,409.23098330241186,6.82
11203,444.54285714285714,7.41
11204,410.2235142118863,6.84
11205,405.6709470304976,6.76
11206,461.12757475083055,7.69
11207,433.1072088724584,7.22
11208,355.57102272727275,5.93
11209,480.9308084486526,8.02
11210,350.73339940535186,5.85
11211,391.8329326923077,6.53
11212,402.67965367965365,6.71
11213,361.5053435114504,6.03
11214,464.79428303655106,7.75
11215,384.9113924050633,6.42
11216,418.1355140186916,6.97
11217,419.38425103611604,6.99
11218,444.2320966350302,7.4
11219,472.43451463790444,7.87
11220,409.98201438848923,6.83
11221,479.22151898734177,7.99
11222,453.04004576659037,7.55
11223,419.97836166924264,7.0
11224,359.9736842105263,6.0
11225,472.47699530516434,7.87
11226,487.1397637795276,8.12
11228,437.7878787878788,7.3
11229,452.95560407569144,7.55
11230,407.128640776699,6.79
11231,437.67988394584137,7.29
11232,517.5888888888888,8.63
11233,617.5,10.29
11234,419.5,6.99
11235,437.48175182481754,7.29
11236,455.31558935361215,7.59
11237,430.9707750952986,7.18
11238,597.7486033519554,9.96
11239,501.8311345646438,8.36
11242,411.17110266159693,6.85
11249,115.8,1.93
11251,576.1188118811881,9.6
11354,534.5137254901961,8.91
11355,489.3904109589041,8.16
11356,541.0571428571428,9.02
11357,504.02967359050444,8.4
11358,472.5592417061611,7.88
11360,393.80428134556576,6.56
11361,499.9621212121212,8.33
11362,456.6307251908397,7.61
11363,511.9384164222874,8.53
11364,578.1019757807521,9.64
11365,443.95848161328587,7.4
11366,407.95152091254755,6.8
11367,442.18197573656846,7.37
11368,495.1470588235294,8.25
11369,438.02408376963353,7.3
11370,448.14714714714717,7.47
11371,438.48477157360406,7.31
11372,434.0219683655536,7.23
11373,432.52255639097746,7.21
11374,441.0649122807018,7.35
11375,407.69565217391306,6.79
11377,534.4407294832827,8.91
11378,523.9342560553633,8.73
11379,447.4711246200608,7.46
11385,454.4855072463768,7.57
11411,469.21572212065814,7.82
11412,469.3085787451985,7.82
11413,499.81049562682216,8.33
11414,478.7276995305164,7.98
11415,474.83383685800607,7.91
11416,516.6268041237114,8.61
11417,431.48945147679325,7.19
11418,418.23396226415093,6.97
11419,423.8950819672131,7.06
11420,408.5122494432071,6.81
11421,548.9592198581561,9.15
11422,448.3175542406312,7.47
11423,466.43640350877195,7.77
11426,459.51359084406295,7.66
11427,494.89495798319325,8.25
11428,474.2386363636364,7.9
11429,350.3688212927757,5.84
11430,382.625,6.38
11432,391.67910447761193,6.53
11433,337.06887052341597,5.62
11434,287.0,4.78
11435,752.2758620689655,12.54
